n0TricksPlayed,hCP0P3,hCP1P3,hCP2P3,hCP3P3,hCP4P3,hCP5P3,hCP6P3,hCP7P3,hCP8P3,hCP9P3,hCP10P3,hCP11P3,hCP12P3,startPNo,trickCard0,trickCard1,trickCard2,trickCard3
6,2,4,5,6,7,13,15,16,-100,-100,-100,-100,-100,1,36,28,15,-100
7,16,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,20,25,19,16
8,2,4,5,6,7,13,-100,-100,-100,-100,-100,-100,-100,1,8,9,2,-100
9,4,5,6,7,13,-100,-100,-100,-100,-100,-100,-100,-100,2,26,4,-100,-100
10,5,6,7,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,24,5,-100,-100
11,6,7,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,33,6,-100,-100
12,7,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,14,7,-100,-100
13,13,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,23,13,-100,-100
1,43,49,50,52,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,40,45,52,-100
2,8,30,32,34,36,37,43,49,50,-100,-100,-100,-100,3,30,-100,-100,-100
3,8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,2,8,-100,-100
4,20,21,23,32,34,36,37,43,49,50,-100,-100,-100,0,1,12,13,37
5,43,49,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,44,43,-100,-100
6,20,21,23,32,34,36,49,50,-100,-100,-100,-100,-100,0,7,5,15,23
7,20,21,32,34,36,49,50,-100,-100,-100,-100,-100,-100,0,9,4,28,21
8,32,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,35,31,17,32
9,20,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,0,25,26,24,20
10,34,36,49,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,19,22,49,-100
11,34,36,50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,18,50,-100,-100
12,34,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,2,41,34,-100,-100
13,36,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,1,38,48,36,-100
